respondent,bususefrequency,age,gender,bicycleuse,bikeuse,caruse,bususe,walking,BT1,BT2,BT3,BT4,BT5,BT6,BT7,BD1,BD2,BD3,BD4,BCM1,BCM2,BCM3,BCM4,BTER1,BTER2,BTER3,BTER4,BTER5,EMP1,EMP2,EMP3,EMP4,EMP5,CS1,CS2,CS3,PV1,PV2,PV3,WOM1,WOM2,WOM3,EP1,EP2,EP3,EP4,SQcomparison,LS1,LS2,LS3,LS4,LS5,weather
229,1,20,1,3,1,1,3,5,3,3,4,4,5,5,4,5,5,4,5,4,4,3,5,4,6,5,5,6,4,4,5,5,4,3,3,3,3,3,3,3,3,1,5,5,5,2,3,4,4,5,3,3,January
230,4,20,0,1,1,4,5,4,5,6,2,6,6,7,7,5,6,6,6,7,6,6,6,5,7,7,6,7,5,6,6,5,6,6,6,6,7,7,6,5,6,6,7,7,7,7,3,6,6,6,6,7,January
231,4,20,1,1,1,1,5,3,4,3,3,5,3,5,5,5,5,4,4,5,4,3,5,4,6,4,5,5,5,4,5,4,5,5,4,4,4,4,5,4,4,3,5,5,6,5,3,5,5,5,5,5,January
232,4,21,1,1,1,2,5,3,4,4,5,4,4,5,5,3,5,3,4,4,4,4,4,3,6,3,5,6,3,6,4,4,5,5,5,5,4,4,5,5,5,5,4,4,5,5,3,2,2,2,2,2,January
233,4,19,0,4,1,2,4,3,5,5,6,7,3,7,7,4,7,4,4,7,4,7,7,4,7,1,7,7,7,7,7,4,7,7,7,7,4,5,7,4,7,3,7,7,7,5,3,7,7,7,7,4,January
234,4,21,1,2,1,2,5,3,6,6,6,6,3,5,6,6,5,6,5,3,4,4,4,3,5,6,6,7,5,4,6,6,6,2,6,6,5,6,6,4,6,6,7,7,7,7,3,4,5,6,4,6,January
235,1,20,1,5,1,1,1,4,5,5,6,5,4,6,4,6,6,5,6,5,6,6,6,5,7,6,6,7,5,5,4,5,6,5,5,6,5,4,4,4,5,5,6,6,6,6,3,4,2,3,2,3,January
236,4,20,1,1,1,2,4,3,4,4,3,4,4,4,4,3,3,3,3,4,3,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,4,4,6,5,5,5,5,4,4,5,3,4,4,4,4,4,January
237,4,19,0,1,1,1,4,5,5,4,2,4,2,4,5,4,3,2,5,7,4,1,2,4,1,2,3,6,3,4,6,3,1,4,5,6,1,1,7,6,6,6,7,7,7,7,3,1,2,5,2,6,January
238,4,21,1,3,1,1,5,4,4,3,3,2,3,5,5,4,4,3,3,5,5,4,4,4,4,6,6,7,5,6,7,4,5,3,3,3,4,4,5,4,5,5,5,5,5,5,3,5,4,5,4,3,January
239,4,20,0,1,1,3,3,1,4,6,3,4,4,6,5,6,7,7,6,6,4,5,6,6,3,6,5,5,4,2,1,4,5,6,6,6,6,6,7,6,5,4,5,5,6,6,3,4,5,6,6,6,January
240,4,21,1,1,1,4,4,3,4,5,3,5,4,3,4,5,5,6,4,5,4,3,4,4,7,3,5,5,2,4,4,3,5,7,6,7,6,6,6,6,2,2,4,4,4,3,2,6,6,7,6,5,January
241,4,19,1,1,1,4,4,2,7,5,4,7,7,7,7,5,6,6,7,7,7,7,7,2,1,5,5,7,3,6,3,3,5,6,3,5,5,5,5,4,4,2,4,4,4,4,3,2,3,4,2,4,January
242,4,19,1,1,1,4,4,3,7,5,4,6,7,7,7,5,6,5,6,6,6,6,6,5,1,3,2,5,2,6,6,4,4,6,6,6,6,6,5,5,4,2,6,6,5,6,3,3,4,3,5,3,January
243,4,20,1,3,1,3,3,2,6,6,4,6,6,4,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,4,5,6,5,6,6,6,6,3,6,6,6,6,5,January
244,4,20,1,1,1,1,5,3,4,3,2,4,2,4,2,3,5,2,2,6,3,3,5,3,4,2,3,3,4,3,4,4,3,4,3,4,1,1,1,3,3,4,4,4,4,4,3,3,3,3,3,3,January
245,4,21,0,1,1,2,5,3,6,3,2,6,4,6,6,3,7,4,6,1,4,4,5,2,6,1,3,7,2,3,5,4,4,3,3,2,4,4,4,1,3,2,5,4,6,3,2,6,7,7,6,7,January
246,2,19,0,3,1,1,5,4,6,6,6,7,6,7,6,6,6,5,6,7,2,5,5,6,6,6,4,4,5,6,5,4,7,4,4,4,5,5,6,2,5,1,4,4,4,4,3,6,7,7,6,6,January
247,1,19,1,1,1,5,3,2,4,5,7,3,5,6,6,5,5,7,4,3,1,1,6,3,1,1,1,1,2,1,1,4,4,4,3,2,3,1,1,2,3,1,7,7,2,7,3,4,4,4,4,4,January
248,1,20,0,5,1,1,1,1,4,4,7,4,4,6,7,7,7,7,7,6,4,4,4,7,7,4,7,7,7,7,7,4,4,4,4,4,5,5,1,4,4,4,7,7,7,7,3,5,7,7,5,4,January
249,4,21,0,3,1,1,5,3,3,4,4,4,5,5,5,4,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,4,2,4,4,4,4,4,January
250,2,20,0,1,1,2,4,4,5,6,5,6,6,6,4,7,5,3,3,7,5,5,5,5,5,3,5,5,7,4,7,5,5,6,6,6,5,5,2,6,6,6,5,5,5,5,3,4,4,5,5,5,January
251,1,19,1,1,1,1,3,5,7,7,7,7,7,7,7,7,7,6,7,7,6,7,7,7,7,6,6,7,6,6,6,6,6,6,7,6,7,5,6,6,6,4,6,6,5,5,2,7,7,7,7,7,January
252,2,18,0,1,1,1,3,5,5,4,6,5,4,6,6,3,4,4,3,6,4,4,5,5,7,5,6,7,4,4,5,4,5,4,4,4,4,5,5,4,5,4,6,4,4,4,2,5,5,6,6,5,January
253,4,23,0,1,1,3,5,5,4,4,6,5,3,4,4,4,4,2,4,4,4,3,7,2,7,2,3,5,1,6,6,1,3,2,2,1,1,2,4,1,5,7,3,3,1,6,2,3,5,5,5,1,January
254,1,19,0,2,1,5,2,3,5,5,2,6,6,7,7,4,6,3,2,7,4,6,7,4,4,4,4,5,3,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,January
255,4,32,1,1,1,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,1,1,2,3,4,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,January
256,1,20,0,2,1,2,1,5,6,6,6,6,6,5,5,6,6,6,5,7,3,4,4,6,7,3,4,3,5,4,5,3,4,4,6,5,3,2,5,3,5,4,7,7,7,7,3,5,6,6,6,6,January
257,1,21,0,1,1,1,2,5,5,5,2,3,3,5,5,3,5,4,7,7,5,5,5,6,5,5,5,5,4,4,4,4,4,4,4,4,7,7,4,1,5,1,7,7,7,7,3,5,5,6,5,3,January
258,4,20,0,3,1,2,4,2,6,6,5,6,6,5,6,5,6,3,6,5,5,3,5,6,6,2,6,7,5,5,4,4,5,5,5,5,5,4,6,5,3,4,7,7,5,7,3,5,5,6,5,5,January
259,1,30,0,1,1,1,1,5,7,6,6,5,6,7,6,7,6,6,4,7,1,4,6,4,7,1,7,7,4,5,7,4,7,6,6,2,2,2,7,2,6,2,2,4,7,7,3,4,5,5,4,7,January
260,2,19,1,1,1,3,2,3,2,4,3,2,4,6,4,3,5,2,4,6,4,4,4,4,5,2,4,6,6,5,2,2,3,2,2,2,3,1,2,1,1,2,4,4,4,4,2,5,5,5,5,5,January
261,4,20,0,4,1,4,4,2,4,3,2,3,2,4,4,5,5,5,4,5,4,3,5,5,5,4,3,2,4,4,4,3,3,4,4,4,3,3,4,1,2,2,5,5,4,5,2,5,5,6,6,6,January
262,4,20,1,1,1,4,5,3,6,3,6,6,6,5,5,5,5,3,3,3,4,4,4,1,5,3,4,5,3,4,4,3,3,3,3,3,5,5,5,3,3,3,4,4,4,4,3,4,4,4,3,7,January
263,4,21,0,1,1,1,5,4,5,5,7,7,5,4,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,4,4,4,5,5,5,4,3,4,5,4,4,4,5,4,5,2,4,5,4,5,4,January
264,4,19,0,3,1,2,4,2,5,6,5,3,7,6,6,5,7,5,7,5,7,4,6,7,7,4,7,7,7,7,5,4,3,4,4,4,6,6,7,7,5,6,6,6,7,7,3,4,5,7,6,3,January
265,4,19,1,2,1,2,4,5,3,3,3,4,4,5,5,2,3,3,3,6,5,4,3,2,4,2,2,2,1,3,4,1,3,3,3,3,2,2,4,1,4,2,4,4,5,5,2,6,6,6,6,5,January
266,4,19,0,3,1,1,5,5,5,5,2,5,1,6,6,5,6,4,4,5,5,4,4,6,7,4,7,7,7,7,7,4,2,5,3,4,5,6,6,5,5,5,7,7,4,4,2,5,5,6,7,5,January
267,1,19,0,1,1,2,2,5,6,6,6,6,4,6,4,5,4,4,4,1,4,4,4,4,4,6,4,6,5,6,4,4,4,4,4,4,2,3,2,4,4,4,5,5,5,5,2,2,4,2,2,3,January
268,2,20,1,1,1,1,2,5,6,6,6,5,7,6,6,4,6,6,5,7,6,5,6,5,6,5,6,7,6,7,6,6,6,6,6,6,7,6,5,5,5,3,6,6,7,6,3,5,5,5,4,5,January
269,1,23,1,1,3,5,2,2,6,5,3,5,5,7,5,4,6,6,5,7,5,3,6,5,6,6,6,6,4,5,5,5,5,5,5,5,4,4,2,3,3,3,1,2,5,2,3,5,6,5,5,2,January
270,4,20,1,1,1,1,5,2,6,6,6,4,7,6,5,4,7,6,5,7,6,1,5,5,7,5,6,7,6,6,5,5,4,4,4,4,4,5,6,4,6,4,6,6,6,6,3,4,3,4,3,5,January
271,1,21,0,1,1,4,2,3,4,3,4,3,3,4,3,3,2,2,2,3,3,3,3,2,2,4,3,3,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,3,2,3,2,January
272,1,22,1,1,1,1,1,5,5,5,7,7,7,7,7,6,6,6,6,6,5,6,6,6,6,6,5,7,6,6,6,6,6,5,5,5,5,5,6,5,5,4,6,6,6,6,2,7,7,7,7,7,January
